epoch,train_loss,train_seg,train_div,train_edge,train_aux,train_acc,train_miou,val_loss,val_seg,val_acc,val_miou
1,3.376839816239145,2.7054468700455296,0.05374716050508949,0.0,0.6176457823150687,0.5105274604065067,0.09312500804662704,1.8982537163496018,1.8982537163496018,0.5923148040771484,0.09927504509687424
2,2.1831539194617005,1.5119190802590714,0.05359953131733669,0.0,0.6176353054948979,0.640822682198551,0.24265040457248688,1.6872518730163575,1.6872518730163575,0.5840530386865139,0.1334453523159027
3,1.971976100984547,1.3021809266259272,0.053247883778789806,0.0,0.6165472918707463,0.6555942135345605,0.28754132986068726,1.661369527220726,1.661369527220726,0.5755942167639733,0.13853858411312103
4,1.931989957475,1.257474054520329,0.05308879630174488,0.0,0.6214271067745156,0.6562910874270731,0.3001813590526581,1.652959851026535,1.652959851026535,0.5702712762057781,0.14124636352062225
5,1.9021463699638843,1.2278523629738225,0.05314333570034554,0.0,0.621150669000215,0.6551303950862752,0.30517101287841797,1.6938205904364585,1.6938205904364585,0.5595618715286255,0.1416679322719574
6,1.912834981166654,1.2325403208947845,0.05314743808574147,0.0,0.6271472208822767,0.6521569551072187,0.30397045612335205,1.7141265956759453,1.7141265956759453,0.5537421534657478,0.13402912020683289
7,1.8701067362394599,1.1937077483783165,0.05312967593005548,0.0,0.623269308379127,0.6591813967045811,0.31353887915611267,1.7136293429136276,1.7136293429136276,0.5574102257788182,0.1408679485321045
8,1.8455116077429718,1.1703494232561853,0.05313585973862145,0.0,0.6220263242721558,0.6639973757581579,0.3209312856197357,1.6457588815689086,1.6457588815689086,0.5692126129567623,0.14443986117839813
9,1.823672937270668,1.149980938889914,0.05307260103937653,0.0,0.6206193968032797,0.6658902792260051,0.32651305198669434,1.6784620288014411,1.6784620288014411,0.5606695503890514,0.1378587931394577
10,1.804317319475942,1.1326699221299754,0.05300700976772027,0.0,0.618640384864476,0.6704284306615591,0.3302467167377472,1.6827922370433808,1.6827922370433808,0.5544722685813904,0.14392992854118347
11,2.582576101604435,1.9058781645364231,0.053100274448903896,0.0,0.6235976598949896,0.6594580158798231,0.3200305104255676,1.7429478238224982,1.7429478238224982,0.5561771023571491,0.13539916276931763
12,2.506096501565642,1.8320949795345465,0.05321032057981938,0.0,0.620791200755371,0.6615245427936316,0.32286813855171204,1.6975087364315986,1.6975087364315986,0.5776134468019009,0.14197379350662231
13,2.4696443646318382,1.7938084334962898,0.053166378889646794,0.0,0.6226695478997297,0.6641637085419562,0.3288614749908447,1.7226797382831573,1.7226797382831573,0.5683767784237862,0.14345432817935944
14,2.4424141835007402,1.768972963011927,0.05311411393340677,0.0,0.6203271059112416,0.6676283622367515,0.33255311846733093,1.728061652123928,1.728061652123928,0.5709912104606628,0.14736132323741913
