epoch,train_loss,train_seg,train_div,train_edge,train_aux,train_acc,train_miou,train_pres_f1,val_loss,val_seg,val_acc,val_miou,val_pres_f1
1,5.751500362820096,4.007249921891424,0.11988080460060802,0.0,1.6243696172204283,0.25167084264289263,0.009538117796182632,0.17378173039743336,3.0893828189373016,3.0893828189373016,0.32323984073102474,0.01607302576303482,0.2630806458011028
2,5.025851048529148,3.5026313294967015,0.09928008853457868,0.0,1.423939646449354,0.30477594315177864,0.02167748101055622,0.2620779316350435,2.7026632115840914,2.7026632115840914,0.39812470161914826,0.027431761845946312,0.290558393517703
3,4.656066586739487,3.23816080606646,0.09150843377639022,0.0,1.3263973577155008,0.33624073221451706,0.03221893683075905,0.278544137349278,2.559011506557465,2.559011506557465,0.40787077775597574,0.034092437475919724,0.30342298288508557
4,4.395291118158235,3.045037051704195,0.08666701710058583,0.0,1.26358704144756,0.35731774051156306,0.04213413968682289,0.2928225328823153,2.4919042078256606,2.4919042078256606,0.4180774795860052,0.041027069091796875,0.33425088478175385
5,4.19284862163994,2.8945870622992516,0.08241900106271108,0.0,1.2158425570776066,0.3729283313680854,0.050319790840148926,0.29867279838731603,2.424315502524376,2.424315502524376,0.41545683850348,0.04592730849981308,0.3032624710587245
6,4.072802111175325,2.8083990403347547,0.07854944345437818,0.0,1.1858536226467953,0.38213353754124707,0.05683937668800354,0.3023167079699225,2.3407852946519854,2.3407852946519854,0.4309752690345049,0.049081526696681976,0.33767441860465114
7,3.893626517057419,2.676195479184389,0.07498858390996853,0.0,1.142442449554801,0.400330117965738,0.06702021509408951,0.2986720533851045,2.2501356929540632,2.2501356929540632,0.4401733746379614,0.05463634431362152,0.29919670269588255
8,3.7510119140148164,2.572655066019959,0.07263772258431547,0.0,1.1057191135568751,0.4158449589378304,0.07747307419776917,0.3029041538224109,2.261192020535469,2.261192020535469,0.42536662693321703,0.061536755412817,0.32965611993372934
9,3.6264037925336097,2.4767653798063596,0.07085598327943848,0.0,1.0787824252413378,0.4270869226401879,0.08661306649446487,0.30237498810920505,2.1825231417417528,2.1825231417417528,0.454458021864295,0.06580908596515656,0.34390638522030326
10,3.524720723264747,2.396930274946822,0.06960987015109923,0.0,1.058180574989981,0.4379678979309069,0.09468916803598404,0.3049194046504214,2.1126321386098863,2.1126321386098863,0.47856630641222,0.07257716357707977,0.28928190543903304
11,4.388299769163131,3.2742917882071603,0.06882517146360544,0.0,1.0451828161875407,0.4420149757112894,0.09998805075883865,0.30727807760582343,2.0627078859806063,2.0627078859806063,0.4804905841499567,0.07249975204467773,0.34665303232911193
12,4.281147958338261,3.1792790287070805,0.0684328718110919,0.0,1.0334360575510395,0.4484826852981415,0.10571460425853729,0.3081173719447737,2.039549933850765,2.039549933850765,0.49173939114809034,0.07748983800411224,0.3197433949523086
13,4.207423472570048,3.1185473766591816,0.06793095273897051,0.0,1.0209451376150052,0.4566864504582352,0.11049563437700272,0.3060104445375713,1.988880474805832,1.988880474805832,0.5020809298455715,0.08185280859470367,0.31750555299442607
14,4.141891984475984,3.0667414012882444,0.06764482016571693,0.0,1.0075057591415113,0.4634500860960947,0.11804383248090744,0.3043105305737482,2.0693299951553343,2.0693299951553343,0.47423183143138886,0.07771329581737518,0.31561319134318105
15,4.069004249241617,3.0069249020682443,0.0671755894087255,0.0,0.9949037546084987,0.47054777600699,0.12325391173362732,0.3021159183807341,2.002265618622303,2.002265618622303,0.481440172880888,0.07907077670097351,0.3359609914668834
16,4.0160033724374244,2.963697264260716,0.06686795758238682,0.0,0.9854381570385562,0.47746205855574875,0.12859098613262177,0.29856232473041006,2.0016137881278993,2.0016137881278993,0.4918676891028881,0.08416996151208878,0.3430887717875963
17,3.9558545279834005,2.9137028546796904,0.06644302534146442,0.0,0.9757086409048902,0.4831272099167109,0.13438716530799866,0.29694546002158506,2.03420078086853,2.03420078086853,0.4763142357766628,0.08819390833377838,0.31248105978613794
18,3.8984172253145113,2.8667188341418903,0.06632518296699143,0.0,0.9653732056832975,0.4917472599902087,0.14077900350093842,0.2963096369949363,2.0368793667554854,2.0368793667554854,0.48739230597019195,0.08933243155479431,0.30574264445232185
19,3.843494658999973,2.8248979825112555,0.06599262444975061,0.0,0.9526040425317155,0.4989927830381526,0.14629538357257843,0.29832703995698945,2.012623968720436,2.012623968720436,0.49074109849333764,0.09081918001174927,0.3239770037199865
20,3.812452129357391,2.798213404417038,0.0655891851728989,0.0,0.9486495361146,0.49938804772165085,0.15142911672592163,0.29723578877404644,1.9320171986818313,1.9320171986818313,0.5044646281003952,0.09642219543457031,0.2868930498254522
